Ngay,diesel,diesel_chg_1m,diesel_chg_3m
2020-01-01,16590,0.03817271589486859,0.024074074074074137
2020-01-02,16590,0.03817271589486859,0.024074074074074137
2020-01-03,16590,0.03817271589486859,0.024074074074074137
2020-01-06,16590,0.03817271589486859,0.024074074074074137
2020-01-07,16590,0.03817271589486859,0.024074074074074137
2020-01-08,16590,0.03817271589486859,0.024074074074074137
2020-01-09,16590,0.03817271589486859,0.024074074074074137
2020-01-10,16590,0.03817271589486859,0.024074074074074137
2020-01-13,16590,0.03817271589486859,0.024074074074074137
2020-01-14,16590,0.03817271589486859,0.024074074074074137
2020-01-15,16540,0.03504380475594493,-0.0054119061936259705
2020-01-16,16540,0.03504380475594493,-0.0054119061936259705
2020-01-17,16540,0.03504380475594493,-0.0054119061936259705
2020-01-20,16540,0.03504380475594493,-0.0054119061936259705
2020-01-21,16540,0.03504380475594493,-0.0054119061936259705
2020-01-22,16540,0.03504380475594493,-0.0054119061936259705
2020-01-23,16540,0.03504380475594493,-0.0054119061936259705
2020-01-24,16540,0.03504380475594493,-0.0054119061936259705
2020-01-27,16540,0.03504380475594493,-0.0054119061936259705
2020-01-28,16540,0.03504380475594493,-0.0054119061936259705
2020-01-29,16540,0.03504380475594493,-0.0054119061936259705
2020-01-30,16130,0.004358655043586568,-0.0055487053020961685
2020-01-31,16130,0.004358655043586568,-0.0055487053020961685
2020-02-03,16130,0.004358655043586568,-0.0055487053020961685
2020-02-04,16130,0.004358655043586568,-0.0055487053020961685
2020-02-05,16130,0.004358655043586568,-0.0055487053020961685
2020-02-06,16130,0.004358655043586568,-0.0055487053020961685
2020-02-07,16130,0.004358655043586568,-0.0055487053020961685
2020-02-10,16130,0.004358655043586568,-0.0055487053020961685
2020-02-11,16130,0.004358655043586568,-0.0055487053020961685
2020-02-12,16130,0.004358655043586568,-0.0055487053020961685
2020-02-13,16130,0.004358655043586568,-0.0055487053020961685
2020-02-14,15170,-0.08559373116335145,-0.0548286604361371
2020-02-17,15170,-0.08559373116335145,-0.0548286604361371
2020-02-18,15170,-0.08559373116335145,-0.0548286604361371
2020-02-19,15170,-0.08559373116335145,-0.0548286604361371
2020-02-20,15170,-0.08559373116335145,-0.0548286604361371
2020-02-21,15170,-0.08559373116335145,-0.0548286604361371
2020-02-24,15170,-0.08559373116335145,-0.0548286604361371
2020-02-25,15170,-0.08559373116335145,-0.0548286604361371
2020-02-26,15170,-0.08559373116335145,-0.0548286604361371
2020-02-27,15170,-0.08559373116335145,-0.0548286604361371
2020-02-28,15170,-0.08559373116335145,-0.0548286604361371
2020-03-02,14780,-0.10640870616686815,-0.07393483709273185
2020-03-03,14780,-0.10640870616686815,-0.07393483709273185
2020-03-04,14780,-0.10640870616686815,-0.07393483709273185
2020-03-05,14780,-0.10640870616686815,-0.07393483709273185
2020-03-06,14780,-0.10640870616686815,-0.07393483709273185
2020-03-09,14780,-0.10640870616686815,-0.07393483709273185
2020-03-10,14780,-0.10640870616686815,-0.07393483709273185
2020-03-11,14780,-0.10640870616686815,-0.07393483709273185
2020-03-12,14780,-0.10640870616686815,-0.07393483709273185
2020-03-13,14780,-0.10640870616686815,-0.07393483709273185
2020-03-16,13030,-0.1410678971654581,-0.18460575719649563
2020-03-17,13030,-0.1410678971654581,-0.18460575719649563
2020-03-18,13030,-0.1410678971654581,-0.18460575719649563
2020-03-19,13030,-0.1410678971654581,-0.18460575719649563
2020-03-20,13030,-0.1410678971654581,-0.18460575719649563
2020-03-23,13030,-0.1410678971654581,-0.18460575719649563
2020-03-24,13030,-0.1410678971654581,-0.18460575719649563
2020-03-25,13030,-0.1410678971654581,-0.18460575719649563
2020-03-26,13030,-0.1410678971654581,-0.18460575719649563
2020-03-27,13030,-0.1410678971654581,-0.18460575719649563
2020-03-30,11250,-0.23883626522327472,-0.29950186799501866
2020-03-31,11250,-0.23883626522327472,-0.29950186799501866
2020-04-01,11250,-0.23883626522327472,-0.29950186799501866
2020-04-02,11250,-0.23883626522327472,-0.29950186799501866
2020-04-03,11250,-0.23883626522327472,-0.29950186799501866
2020-04-06,11250,-0.23883626522327472,-0.29950186799501866
2020-04-07,11250,-0.23883626522327472,-0.29950186799501866
2020-04-08,11250,-0.23883626522327472,-0.29950186799501866
2020-04-09,11250,-0.23883626522327472,-0.29950186799501866
2020-04-10,11250,-0.23883626522327472,-0.29950186799501866
2020-04-13,10820,-0.2679296346414073,-0.3477998794454491
2020-04-14,10820,-0.2679296346414073,-0.3477998794454491
2020-04-15,10820,-0.2679296346414073,-0.3477998794454491
2020-04-16,10820,-0.2679296346414073,-0.3477998794454491
2020-04-17,10820,-0.2679296346414073,-0.3477998794454491
2020-04-20,10820,-0.2679296346414073,-0.3477998794454491
2020-04-21,10820,-0.2679296346414073,-0.3477998794454491
2020-04-22,10820,-0.2679296346414073,-0.3477998794454491
2020-04-23,10820,-0.2679296346414073,-0.3477998794454491
2020-04-24,10820,-0.2679296346414073,-0.3477998794454491
2020-04-27,10820,-0.2679296346414073,-0.3477998794454491
2020-04-28,9940,-0.23714504988488105,-0.3990326481257558
2020-04-29,9940,-0.23714504988488105,-0.3990326481257558
2020-04-30,9940,-0.23714504988488105,-0.3990326481257558
2020-05-01,9940,-0.23714504988488105,-0.3990326481257558
2020-05-04,9940,-0.23714504988488105,-0.3990326481257558
2020-05-05,9940,-0.23714504988488105,-0.3990326481257558
2020-05-06,9940,-0.23714504988488105,-0.3990326481257558
2020-05-07,9940,-0.23714504988488105,-0.3990326481257558
2020-05-08,9940,-0.23714504988488105,-0.3990326481257558
2020-05-11,9940,-0.23714504988488105,-0.3990326481257558
2020-05-12,9940,-0.23714504988488105,-0.3990326481257558
2020-05-13,9850,-0.08964879852125696,-0.38933663980161193
2020-05-14,9850,-0.08964879852125696,-0.38933663980161193
2020-05-15,9850,-0.08964879852125696,-0.38933663980161193
2020-05-18,9850,-0.08964879852125696,-0.38933663980161193
2020-05-19,9850,-0.08964879852125696,-0.38933663980161193
2020-05-20,9850,-0.08964879852125696,-0.38933663980161193
2020-05-21,9850,-0.08964879852125696,-0.38933663980161193
2020-05-22,9850,-0.08964879852125696,-0.38933663980161193
2020-05-25,9850,-0.08964879852125696,-0.38933663980161193
2020-05-26,9850,-0.08964879852125696,-0.38933663980161193
2020-05-27,9850,-0.08964879852125696,-0.38933663980161193
2020-05-28,10740,0.08048289738430592,-0.2920237310481213
2020-05-29,10740,0.08048289738430592,-0.2920237310481213
2020-06-01,10740,0.08048289738430592,-0.2920237310481213
2020-06-02,10740,0.08048289738430592,-0.2920237310481213
2020-06-03,10740,0.08048289738430592,-0.2920237310481213
2020-06-04,10740,0.08048289738430592,-0.2920237310481213
2020-06-05,10740,0.08048289738430592,-0.2920237310481213
2020-06-08,10740,0.08048289738430592,-0.2920237310481213
2020-06-09,10740,0.08048289738430592,-0.2920237310481213
2020-06-10,10740,0.08048289738430592,-0.2920237310481213
2020-06-11,10740,0.08048289738430592,-0.2920237310481213
2020-06-12,11510,0.15794768611670018,-0.22124492557510145
2020-06-15,11510,0.15794768611670018,-0.22124492557510145
2020-06-16,11510,0.15794768611670018,-0.22124492557510145
2020-06-17,11510,0.15794768611670018,-0.22124492557510145
2020-06-18,11510,0.15794768611670018,-0.22124492557510145
2020-06-19,11510,0.15794768611670018,-0.22124492557510145
2020-06-22,11510,0.15794768611670018,-0.22124492557510145
2020-06-23,11510,0.15794768611670018,-0.22124492557510145
2020-06-24,11510,0.15794768611670018,-0.22124492557510145
2020-06-25,11510,0.15794768611670018,-0.22124492557510145
2020-06-26,11510,0.15794768611670018,-0.22124492557510145
2020-06-29,12110,0.2294416243654822,-0.07060629316960865
2020-06-30,12110,0.2294416243654822,-0.07060629316960865
2020-07-01,12110,0.2294416243654822,-0.07060629316960865
2020-07-02,12110,0.2294416243654822,-0.07060629316960865
2020-07-03,12110,0.2294416243654822,-0.07060629316960865
2020-07-06,12110,0.2294416243654822,-0.07060629316960865
2020-07-07,12110,0.2294416243654822,-0.07060629316960865
2020-07-08,12110,0.2294416243654822,-0.07060629316960865
2020-07-09,12110,0.2294416243654822,-0.07060629316960865
2020-07-10,12110,0.2294416243654822,-0.07060629316960865
2020-07-13,12110,0.052128583840139076,0.11922365988909434
2020-07-14,12110,0.052128583840139076,0.11922365988909434
2020-07-15,12110,0.052128583840139076,0.11922365988909434
2020-07-16,12110,0.052128583840139076,0.11922365988909434
2020-07-17,12110,0.052128583840139076,0.11922365988909434
2020-07-20,12110,0.052128583840139076,0.11922365988909434
