ngay_ky,gia,nguon
2017-01-04,13750,webgia
2017-01-19,14040,webgia
2017-02-03,14020,webgia
2017-02-18,14300,webgia
2017-03-06,14440,webgia
2017-03-21,13830,webgia
2017-04-05,13460,webgia
2017-04-20,13810,webgia
2017-05-05,13600,webgia
2017-05-20,13260,webgia
2017-06-05,13480,webgia
2017-06-20,12830,webgia
2017-07-05,12950,webgia
2017-07-20,13320,webgia
2017-08-04,13790,webgia
2017-08-19,13790,webgia
2017-09-05,13950,webgia
2017-09-20,14440,webgia
2017-10-05,14580,webgia
2017-10-20,14410,webgia
2017-11-04,14610,webgia
2017-11-20,15010,webgia
2017-12-05,15160,webgia
2017-12-15,15160,webgia
2018-01-01,15160,webgia
2018-01-04,15520,webgia
2018-01-19,15950,webgia
2018-02-03,15950,webgia
2018-02-21,15710,webgia
2018-03-08,15710,webgia
2018-03-23,15710,webgia
2018-04-07,16350,webgia
2018-04-23,16730,webgia
2018-05-08,17100,webgia
2018-05-23,17690,webgia
2018-06-07,17690,webgia
2018-06-22,17460,webgia
2018-07-07,17450,webgia
2018-07-23,17240,webgia
2018-08-07,17530,webgia
2018-08-22,17680,luatvietnam
2018-09-06,18060,luatvietnam
2018-09-21,18120,luatvietnam
2018-10-06,18610,luatvietnam
2018-10-22,18610,luatvietnam
2018-11-06,18540,luatvietnam
2018-11-21,17630,luatvietnam
2018-12-06,16250,luatvietnam
2018-12-21,16000,luatvietnam
2019-01-01,14900,luatvietnam
2019-01-16,14900,luatvietnam
2019-01-31,14900,luatvietnam
2019-02-15,14900,luatvietnam
2019-03-02,15860,luatvietnam
2019-03-18,15860,luatvietnam
2019-04-02,17080,luatvietnam
2019-04-17,17380,luatvietnam
2019-05-02,17690,luatvietnam
2019-05-17,17610,luatvietnam
2019-06-01,17390,luatvietnam
2019-06-17,16650,luatvietnam
2019-07-02,16940,luatvietnam
2019-07-17,16990,luatvietnam
2019-08-01,17020,luatvietnam
2019-08-16,16500,luatvietnam
2019-08-31,16330,luatvietnam
2019-09-16,16200,luatvietnam
2019-10-01,16630,luatvietnam
2019-10-16,16220,luatvietnam
2019-10-31,16050,luatvietnam
2019-11-15,15960,luatvietnam
2019-11-30,15980,luatvietnam
2019-12-16,16060,luatvietnam
2019-12-31,16590,luatvietnam
2020-01-15,16540,luatvietnam
2020-01-30,16130,luatvietnam
2020-02-14,15170,luatvietnam
