Nam,Bà Rịa - Vũng Tàu,Bình Dương,Bình Phước,Bình Thuận,Bình Định,Gia Lai,Hòa Bình,Khánh Hòa,Kon Tum,Lai Châu,Lâm Đồng,Nghệ An,Ninh Thuận,Phú Yên,Quảng Bình,Quảng Trị,Sơn La,Thanh Hóa,Thừa Thiên Huế,Yên Bái,Điện Biên,Đắk Lắk,Đắk Nông,Đồng Nai
1995,5.0,0.1,7.1,,,22.8,,,5.0,,126.9,2.6,,,0.2,1.9,1.8,,,,,126.9,,22.1
1996,8.4,0.5,14.4,,,30.6,,,5.5,,165.0,3.2,,,0.2,2.2,2.2,,,,,165.0,,24.0
1997,10.9,0.5,15.8,,,38.5,,,7.0,,169.6,3.5,,,0.2,2.6,2.8,,,,,169.6,,31.0
1998,12.1,0.5,17.8,1.6,0.6,44.9,0.1,0.7,9.6,0.4,182.3,3.8,,1.5,0.2,3.0,3.6,4.0,0.2,1.8,,182.3,,33.6
1999,13.7,0.6,20.1,1.6,0.6,81.0,0.0,0.7,14.4,0.4,259.0,3.0,,1.8,0.2,3.5,3.9,3.4,0.1,1.8,,259.0,,35.8
2000,13.7,0.6,18.8,1.8,0.6,81.0,0.0,0.7,14.2,0.4,258.5,2.8,,1.8,0.2,3.3,4.0,3.4,0.2,0.9,,258.5,,33.2
2001,9.3,0.6,16.6,2.2,0.5,79.2,0.0,0.5,13.0,0.4,237.3,3.0,,1.8,0.2,3.5,2.7,4.0,0.5,0.9,,237.3,,27.0
2002,9.1,0.5,15.7,1.9,0.5,77.5,0.0,0.4,12.4,0.4,232.3,2.4,,1.7,0.1,3.6,2.7,4.0,0.7,0.6,,232.3,,25.1
2003,9.1,0.5,13.6,1.7,0.5,76.1,0.0,0.4,11.5,0.4,166.4,2.5,,1.7,0.1,3.7,2.7,4.0,0.7,0.4,0.2,166.4,66.5,23.4
2004,8.0,0.4,10.4,1.1,0.5,75.9,0.0,0.3,10.6,0.4,167.0,2.5,,1.0,0.1,3.8,2.8,0.9,0.7,0.3,0.4,167.0,67.1,20.3
2005,7.8,0.4,10.4,1.1,0.3,75.9,0.0,0.2,10.6,0.4,170.4,2.5,,1.0,0.1,3.8,2.9,1.3,0.7,0.1,0.4,170.4,71.4,18.6
2006,7.2,0.4,10.3,1.4,0.3,75.9,0.0,0.3,9.8,0.4,174.7,1.9,,1.0,0.1,4.0,2.6,0.3,0.7,0.1,0.2,174.7,70.2,16.9
2007,7.2,0.3,10.3,1.4,0.3,76.1,0.0,0.2,9.9,0.5,178.9,2.0,,1.1,0.1,4.1,3.0,0.2,0.7,0.0,3.4,178.9,71.9,16.4
2008,7.1,,11.1,1.4,0.3,76.4,0.1,0.3,10.4,0.4,182.4,1.3,,1.2,,4.3,3.4,0.1,0.9,,1.0,182.4,75.5,17.7
2009,7.2,,11.5,1.6,0.3,76.6,0.1,0.3,11.1,0.3,182.0,1.4,,1.5,,4.5,3.6,,0.8,,1.5,182.0,74.8,18.6
2010,7.2,,12.5,1.8,0.3,77.2,0.2,0.3,11.5,0.3,143.3,1.0,,1.6,,4.7,4.5,,0.8,,2.0,190.8,86.5,20.0
2011,7.6,,12.5,1.8,0.2,77.6,0.2,0.3,11.9,0.2,200.2,0.9,,1.6,,4.7,5.8,,0.8,,3.0,200.2,90.2,20.0
2012,7.3,,15.0,1.8,0.1,77.7,0.1,0.3,12.8,,202.0,0.7,,1.6,,4.9,7.2,,0.7,,3.7,202.0,115.3,20.3
2013,7.1,,15.6,1.9,0.1,78.0,0.1,0.5,13.4,,203.6,0.6,,1.6,,4.8,10.6,,0.7,,4.0,203.6,117.4,21.8
2014,7.1,,15.8,2.1,0.1,79.1,0.1,0.5,14.1,,204.4,0.5,,1.4,,4.9,11.3,,0.3,,4.1,204.4,118.5,20.4
2015,6.5,,16.0,1.9,0.1,79.7,,0.5,15.3,,166.2,0.5,,1.4,,5.1,16.9,,,,4.5,203.4,119.5,21.0
2016,5.3,,16.0,2.1,0.1,82.5,,0.5,16.6,,172.4,0.5,,1.4,,5.0,17.3,,,,4.5,203.7,123.6,21.0
2017,5.1,,16.0,2.2,0.1,86.2,,0.5,18.0,,173.9,0.5,,1.4,,5.0,17.6,,,,4.5,203.8,127.5,21.0
2018,,,15.5,2.2,,89.3,,0.6,20.5,,175.6,0.0,,0.3,,4.9,17.1,,,,4.0,203.1,129.5,12.7
2019,,,15.0,2.4,,96.3,,0.5,21.6,,175.2,0.0,,0.2,,4.9,17.8,,,,3.3,208.1,129.2,10.0
2020,,,14.6,2.3,,98.5,,0.5,25.3,,176.1,0.0,,0.1,,4.4,17.8,,,,3.3,210.0,130.5,8.5
2021,,,14.6,2.3,,98.4,,0.4,29.0,,175.9,0.0,,0.1,,4.1,18.0,,,,2.5,213.3,135.6,7.1
2022,3.1,,14.0,2.3,,100.1,0.0,0.3,29.1,,175.9,0.0,0.0,0.1,,3.9,18.8,,,,2.6,212.9,139.9,5.8
2023,2.9,,14.0,1.9,,105.8,0.0,0.3,29.8,,176.8,0.0,0.0,0.1,,3.7,20.9,,,,2.8,212.1,142.1,5.2

2025,,,,,,106.4,,,31.5,,176.8,,,,,,,,,,,212.5,143.0
2024,,,14.2,,,106.4,,,31.5,,176.8,,,,,3.7,23.3,,,,,212.5,143.0,
