Date,Price
2016-01-04,1528.0
2016-01-05,1507.0
2016-01-06,1492.0
2016-01-07,1479.0
2016-01-08,1485.0
2016-01-11,1444.0
2016-01-12,1448.0
2016-01-13,1457.0
2016-01-14,1438.0
2016-01-15,1441.0
2016-01-18,1420.0
2016-01-19,1412.0
2016-01-20,1366.0
2016-01-21,1370.0
2016-01-22,1395.0
2016-01-25,1389.0
2016-01-26,1390.0
2016-01-27,1416.0
2016-01-28,1402.0
2016-01-29,1382.0
2016-02-01,1408.0
2016-02-02,1427.0
2016-02-03,1431.0
2016-02-04,1462.0
2016-02-05,1454.0
2016-02-08,1416.0
2016-02-09,1416.0
2016-02-10,1420.0
2016-02-11,1408.0
2016-02-12,1441.0
2016-02-15,1433.0
2016-02-16,1442.0
2016-02-17,1442.0
2016-02-18,1428.0
2016-02-19,1417.0
2016-02-22,1418.0
2016-02-23,1397.0
2016-02-24,1371.0
2016-02-25,1368.0
2016-02-26,1366.0
2016-02-29,1413.0
2016-03-01,1377.0
2016-03-02,1391.0
2016-03-03,1394.0
2016-03-04,1393.0
2016-03-07,1394.0
2016-03-08,1408.0
2016-03-09,1420.0
2016-03-10,1402.0
2016-03-11,1427.0
2016-03-14,1438.0
2016-03-15,1423.0
2016-03-16,1426.0
2016-03-17,1459.0
2016-03-18,1482.0
2016-03-21,1473.0
2016-03-22,1514.0
2016-03-23,1515.0
2016-03-24,1491.0
2016-03-28,1458.0
2016-03-29,1496.0
2016-03-30,1504.0
2016-03-31,1501.0
2016-04-01,1519.0
2016-04-04,1506.0
2016-04-05,1490.0
2016-04-06,1502.0
2016-04-07,1528.0
2016-04-08,1543.0
2016-04-11,1575.0
2016-04-12,1585.0
2016-04-13,1546.0
2016-04-14,1552.0
2016-04-15,1552.0
2016-04-18,1555.0
2016-04-19,1565.0
2016-04-20,1578.0
2016-04-21,1567.0
2016-04-22,1557.0
2016-04-25,1571.0
2016-04-26,1589.0
2016-04-27,1573.0
2016-04-28,1578.0
2016-04-29,1588.0
2016-05-02,1588.0
2016-05-03,1579.0
2016-05-04,1585.0
2016-05-05,1617.0
2016-05-06,1649.0
2016-05-09,1635.0
2016-05-10,1660.0
2016-05-11,1671.0
2016-05-12,1678.0
2016-05-13,1680.0
2016-05-16,1686.0
2016-05-17,1699.0
2016-05-18,1669.0
2016-05-19,1638.0
2016-05-20,1660.0
2016-05-23,1643.0
2016-05-24,1648.0
2016-05-25,1644.0
2016-05-26,1639.0
2016-05-27,1640.0
2016-05-30,1640.0
2016-05-31,1648.0
2016-06-01,1667.0
2016-06-02,1656.0
2016-06-03,1668.0
2016-06-06,1689.0
2016-06-07,1712.0
2016-06-08,1726.0
2016-06-09,1714.0
2016-06-10,1674.0
2016-06-13,1681.0
2016-06-14,1651.0
2016-06-15,1646.0
2016-06-16,1648.0
2016-06-17,1674.0
2016-06-20,1693.0
2016-06-21,1715.0
2016-06-22,1708.0
2016-06-23,1718.0
2016-06-24,1669.0
2016-06-27,1664.0
2016-06-28,1701.0
2016-06-29,1722.0
2016-06-30,1717.0
2016-07-01,1745.0
2016-07-04,1768.0
2016-07-05,1759.0
2016-07-06,1749.0
2016-07-07,1762.0
2016-07-08,1797.0
2016-07-11,1829.0
2016-07-12,1809.0
2016-07-13,1816.0
2016-07-14,1842.0
2016-07-15,1819.0
2016-07-18,1814.0
2016-07-19,1812.0
2016-07-20,1816.0
2016-07-21,1818.0
2016-07-22,1788.0
2016-07-25,1786.0
2016-07-26,1811.0
2016-07-27,1804.0
2016-07-28,1813.0
2016-07-29,1848.0
2016-08-01,1843.0
2016-08-02,1851.0
2016-08-03,1853.0
2016-08-04,1846.0
2016-08-05,1853.0
2016-08-08,1855.0
2016-08-09,1848.0
2016-08-10,1848.0
2016-08-11,1841.0
2016-08-12,1835.0
2016-08-15,1834.0
2016-08-16,1810.0
2016-08-17,1785.0
2016-08-18,1823.0
2016-08-19,1817.0
2016-08-22,1831.0
2016-08-23,1821.0
2016-08-24,1810.0
2016-08-25,1797.0
2016-08-26,1819.0
2016-08-29,1819.0
2016-08-30,1816.0
2016-08-31,1828.0
2016-09-01,1852.0
2016-09-02,1865.0
2016-09-05,1877.0
2016-09-06,1889.0
2016-09-07,1912.0
2016-09-08,1927.0
2016-09-09,1909.0
2016-09-12,1926.0
2016-09-13,1943.0
2016-09-14,1942.0
2016-09-15,1936.0
2016-09-16,1937.0
2016-09-19,1960.0
2016-09-20,1955.0
2016-09-21,1986.0
2016-09-22,2002.0
2016-09-23,1966.0
2016-09-26,1975.0
2016-09-27,1995.0
2016-09-28,1996.0
2016-09-29,2010.0
2016-09-30,2004.0
2016-10-03,2004.0
2016-10-04,1986.0
2016-10-05,2020.0
2016-10-06,2012.0
2016-10-07,2029.0
2016-10-10,2046.0
2016-10-11,2059.0
2016-10-12,2070.0
2016-10-13,2070.0
2016-10-14,2074.0
2016-10-17,2109.0
2016-10-18,2153.0
2016-10-19,2129.0
2016-10-20,2122.0
2016-10-21,2153.0
2016-10-24,2161.0
2016-10-25,2178.0
2016-10-26,2178.0
2016-10-27,2175.0
2016-10-28,2187.0
2016-10-31,2184.0
2016-11-01,2158.0
2016-11-02,2164.0
2016-11-03,2166.0
2016-11-04,2188.0
2016-11-07,2194.0
2016-11-08,2085.0
2016-11-09,2133.0
2016-11-10,2077.0
2016-11-11,2027.0
2016-11-14,2099.0
2016-11-15,2136.0
2016-11-16,2163.0
2016-11-17,2163.0
2016-11-18,2152.0
2016-11-21,2083.0
2016-11-22,2099.0
2016-11-23,2046.0
2016-11-24,2022.0
2016-11-25,2032.0
2016-11-28,2078.0
2016-11-29,2046.0
2016-11-30,2026.0
2016-12-01,1983.0
2016-12-02,2043.0
2016-12-05,2043.0
2016-12-06,2032.0
2016-12-07,2021.0
2016-12-08,2011.0
2016-12-09,1989.0
2016-12-12,2017.0
2016-12-13,2046.0
2016-12-14,2053.0
2016-12-15,2056.0
2016-12-16,2083.0
2016-12-19,2129.0
2016-12-20,2123.0
2016-12-21,2113.0
2016-12-22,2064.0
2016-12-23,2089.0
2016-12-27,2089.0
2016-12-28,2077.0
2016-12-29,2116.0
2016-12-30,2138.0
2017-01-02,2138.0
2017-01-03,2124.0
2017-01-04,2165.0
2017-01-05,2154.0
2017-01-06,2140.0
2017-01-09,2141.0
2017-01-10,2162.0
2017-01-11,2218.0
2017-01-12,2198.0
2017-01-13,2202.0
2017-01-16,2233.0
2017-01-17,2238.0
2017-01-18,2245.0
2017-01-19,2261.0
2017-01-20,2261.0
2017-01-23,2248.0
2017-01-24,2212.0
2017-01-25,2231.0
2017-01-26,2210.0
2017-01-27,2238.0
2017-01-30,2237.0
2017-01-31,2222.0
2017-02-01,2257.0
2017-02-02,2201.0
2017-02-03,2197.0
2017-02-06,2181.0
2017-02-07,2172.0
2017-02-08,2136.0
2017-02-09,2157.0
2017-02-10,2159.0
2017-02-13,2139.0
2017-02-14,2128.0
2017-02-15,2148.0
2017-02-16,2179.0
2017-02-17,2174.0
2017-02-20,2186.0
2017-02-21,2189.0
2017-02-22,2161.0
2017-02-23,2155.0
2017-02-24,2126.0
2017-02-27,2100.0
2017-02-28,2143.0
2017-03-01,2149.0
2017-03-02,2215.0
2017-03-03,2194.0
2017-03-06,2176.0
2017-03-07,2169.0
2017-03-08,2189.0
2017-03-09,2182.0
2017-03-10,2170.0
2017-03-13,2164.0
2017-03-14,2169.0
2017-03-15,2180.0
2017-03-16,2183.0
2017-03-17,2184.0
2017-03-20,2196.0
2017-03-21,2171.0
2017-03-22,2164.0
2017-03-23,2163.0
2017-03-24,2139.0
2017-03-27,2186.0
2017-03-28,2168.0
2017-03-29,2171.0
2017-03-30,2161.0
2017-03-31,2149.0
2017-04-03,2174.0
2017-04-04,2172.0
2017-04-05,2179.0
2017-04-06,2169.0
2017-04-07,2194.0
2017-04-10,2180.0
2017-04-11,2199.0
2017-04-12,2183.0
2017-04-13,2173.0
2017-04-18,2190.0
2017-04-19,2174.0
2017-04-20,2124.0
2017-04-21,1990.0
2017-04-24,1936.0
2017-04-25,1916.0
2017-04-26,1929.0
2017-04-27,1910.0
2017-04-28,1946.0
2017-05-02,1995.0
2017-05-03,2034.0
2017-05-04,1992.0
2017-05-05,2002.0
2017-05-08,2027.0
2017-05-09,2020.0
2017-05-10,2014.0
2017-05-11,1984.0
2017-05-12,1994.0
2017-05-15,1969.0
2017-05-16,1959.0
2017-05-17,1997.0
2017-05-18,1984.0
2017-05-19,1977.0
2017-05-22,1925.0
2017-05-23,1936.0
2017-05-24,1905.0
2017-05-25,1934.0
2017-05-26,1991.0
2017-05-29,1991.0
2017-05-30,2010.0
2017-05-31,1995.0
2017-06-01,2001.0
2017-06-02,2002.0
2017-06-05,2015.0
2017-06-06,2004.0
2017-06-07,1991.0
2017-06-08,2000.0
2017-06-09,2021.0
2017-06-12,2048.0
2017-06-13,2040.0
2017-06-14,2056.0
2017-06-15,2105.0
2017-06-16,2125.0
2017-06-19,2108.0
2017-06-20,2074.0
2017-06-21,2072.0
2017-06-22,2030.0
2017-06-23,2078.0
2017-06-26,2090.0
2017-06-27,2086.0
2017-06-28,2092.0
2017-06-29,2132.0
2017-06-30,2149.0
2017-07-03,2146.0
2017-07-04,2149.0
2017-07-05,2157.0
2017-07-06,2150.0
2017-07-07,2111.0
2017-07-10,2100.0
2017-07-11,2072.0
2017-07-12,2097.0
2017-07-13,2145.0
2017-07-14,2146.0
2017-07-17,2126.0
2017-07-18,2131.0
2017-07-19,2110.0
2017-07-20,2113.0
2017-07-21,2143.0
2017-07-24,2103.0
2017-07-25,2100.0
2017-07-26,2143.0
2017-07-27,2141.0
2017-07-28,2129.0
2017-07-31,2123.0
2017-08-01,2104.0
2017-08-02,2136.0
2017-08-03,2134.0
2017-08-04,2133.0
2017-08-07,2157.0
2017-08-08,2157.0
2017-08-09,2131.0
2017-08-10,2089.0
2017-08-11,2133.0
2017-08-14,2100.0
2017-08-15,2053.0
2017-08-16,2054.0
2017-08-17,2054.0
2017-08-18,2101.0
2017-08-21,2119.0
2017-08-22,2135.0
2017-08-23,2100.0
2017-08-24,2067.0
2017-08-25,2112.0
2017-08-29,2105.0
2017-08-30,2075.0
2017-08-31,2069.0
2017-09-01,2059.0
2017-09-04,2021.0
2017-09-05,1969.0
2017-09-06,1945.0
2017-09-07,1950.0
2017-09-08,1960.0
2017-09-11,1951.0
2017-09-12,1969.0
2017-09-13,2003.0
2017-09-14,1993.0
2017-09-15,1992.0
2017-09-18,2005.0
2017-09-19,1983.0
2017-09-20,2035.0
2017-09-21,2012.0
