Nam,Bà Rịa - Vũng Tàu,Bình Phước,Bình Thuận,Bình Định,Gia Lai,Hòa Bình,Khánh Hòa,Kon Tum,Lâm Đồng,Nghệ An,Ninh Thuận,Phú Yên,Quảng Trị,Sơn La,Thanh Hóa,Thừa Thiên Huế,Điện Biên,Đắk Lắk,Đắk Nông,Đồng Nai
2005,10500.0,10200.0,1200.0,100.0,110200.0,,400.0,14300.0,211000.0,1200.0,,800.0,6200.0,2300.0,200.0,400.0,400.0,266300.0,104900.0,26200.0
2006,,,,300.0,114400.0,6500.0,,15000.0,170500.0,2100.0,,,,2200.0,1100.0,200.0,900.0,266200.0,104400.0,
2007,10600.0,12200.0,1400.0,200.0,124900.0,,400.0,16500.0,269000.0,1700.0,,1200.0,6100.0,3100.0,300.0,400.0,1000.0,325300.0,117000.0,23700.0
2008,11100.0,13200.0,1300.0,200.0,134600.0,,400.0,21800.0,282600.0,1500.0,,1600.0,6200.0,3000.0,100.0,300.0,600.0,415500.0,136500.0,25300.0
2009,14800.0,15000.0,1400.0,300.0,139800.0,,400.0,19100.0,332036.0,1700.0,,1600.0,6100.0,4500.0,,300.0,1300.0,380300.0,156685.0,28900.0
2010,14500.0,16000.0,1433.0,300.0,144700.0,100.0,400.0,21206.0,318200.0,1100.0,,1900.0,5600.0,5400.0,,300.0,1300.0,399098.0,139300.0,30300.0
2011,11581.5,17509.0,1518.2,200.0,151771.8,70.0,470.0,26281.0,356959.0,1032.0,,2116.2,5579.3,5674.0,,337.6,2673.6,484131.0,177145.0,31393.0
2012,11600.0,24100.0,1600.0,100.0,166700.0,100.0,500.0,28500.0,354700.0,700.0,,2300.0,7300.0,7500.0,,400.0,4500.0,412200.0,204600.0,32900.0
2013,11300.0,24900.0,1600.0,100.0,187400.0,200.0,500.0,30000.0,379200.0,700.0,,2300.0,7900.0,11600.0,,400.0,5400.0,462400.0,220400.0,34700.0
2014,11800.0,27400.0,1791.8,100.0,196900.0,200.0,600.0,31800.0,392200.0,700.0,,1900.0,5100.0,11600.0,,200.0,3700.0,436419.0,223200.0,33000.0
2015,,,2030.3,,201012.3,,,35941.0,427112.0,,,,,19939.0,,,,454810.0,246549.0,
2016,,,2085.0,,200833.0,,,36873.0,458681.0,,,,,14708.0,,,,447348.0,250707.0,
2017,,,2439.0,,217344.0,,,40108.0,474120.0,,,,,22766.0,,,,459785.0,267499.0,
2018,,32030.0,2635.5,,222700.0,,7726.0,42326.0,487411.4,27.0,,655.0,5540.2,22611.0,,,3272.9,478083.0,280974.0,27672.0
2019,,32069.0,3604.5,,244318.6,,7037.0,44087.0,515944.5,26.9,,451.0,5514.5,25518.0,,,4546.8,476424.0,300440.0,23726.0
2020,,27411.0,3822.1,,254085.0,,6442.0,51270.0,537344.0,20.8,,212.0,4648.7,26168.0,,,2803.8,508944.0,316422.0,20353.0
2021,,27842.0,3907.2,,257769.6,,6257.0,61789.0,563085.9,22.0,,149.0,3963.6,29180.0,,,4321.8,526793.0,332620.0,17406.0
2022,6846.2,29013.0,3850.0,,282857.9,83.7,551.0,24187.0,580396.5,19.0,97.1,158.4,4321.6,29986.0,,,4038.7,558729.0,356612.0,14090.0
2023,4396.5,29420.0,3227.7,,315317.6,56.0,462.0,24814.2,586134.0,18.0,96.6,165.0,4120.4,34345.0,,,4393.5,535672.0,360027.0,12791.0
2024,,,1933.3,,310800.0,,,25016.0,572700.0,,,,,29838.0,,,5967.6,543540.0,362700.0,
