Ngay,Nam,Thang,available_from,Luong_nghin_tan,KimNgach_trieu_USD,DonGia_USD_tan,Luong_lag1m,DonGia_lag1m,DonGia_ret_lag1m
2009-01-01,2009,1,2009-02-06,151.13,232.0,1535.1022298683254,,,
2009-02-01,2009,2,2009-03-06,154.4,236.62,1532.5129533678758,151.13,1535.1022298683254,
2009-03-01,2009,3,2009-04-06,137.02,199.81,1458.2542694497154,154.4,1532.5129533678758,-0.001686712747900665
2009-04-01,2009,4,2009-05-06,123.77,180.16,1455.6031348468935,137.02,1458.2542694497154,-0.04845550163538148
2009-05-01,2009,5,2009-06-06,93.09,134.1,1440.541411537222,123.77,1455.6031348468935,-0.0018180194348563772
2009-06-01,2009,6,2009-07-06,82.37,121.08,1469.952652664805,93.09,1440.541411537222,-0.010347410601898477
2009-07-01,2009,7,2009-08-06,53.88,77.01,1429.2873051224944,82.37,1469.952652664805,0.020416796693264017
2009-08-01,2009,8,2009-09-06,55.31,79.17,1431.3867293436992,53.88,1429.2873051224944,-0.02766439277386956
2009-09-01,2009,9,2009-10-06,50.52,73.74,1459.6199524940619,55.31,1431.3867293436992,0.001468860888696355
2009-10-01,2009,10,2009-11-06,55.81,80.58,1443.8272710983695,50.52,1459.6199524940619,0.019724385151528967
2009-11-01,2009,11,2009-12-06,81.03,114.13,1408.490682463285,55.81,1443.8272710983695,-0.010819721509497948
2009-12-01,2009,12,2010-01-06,145.25,202.26,1392.4956970740104,81.03,1408.490682463285,-0.024474249338844123
2010-01-01,2010,1,2010-02-06,145.4,204.35,1405.433287482806,145.25,1392.4956970740104,-0.01135611728811814
2010-02-01,2010,2,2010-03-06,77.39,110.63,1429.5128569582632,145.4,1405.433287482806,0.00929093744130105
2010-03-01,2010,3,2010-04-06,125.25,171.59,1369.9800399201597,77.39,1429.5128569582632,0.017133199910601915
2010-04-01,2010,4,2010-05-06,125.29,169.15,1350.067842605156,125.25,1369.9800399201597,-0.04164552752941186
2010-05-01,2010,5,2010-06-06,101.24,143.12,1413.6704859739234,125.29,1350.067842605156,-0.014534662356222361
2010-06-01,2010,6,2010-07-06,105.46,152.82,1449.0802199886214,101.24,1413.6704859739234,0.04711070167113718
2010-07-01,2010,7,2010-08-06,99.47,153.1,1539.1575349351563,105.46,1449.0802199886214,0.025048081830967073
2010-08-01,2010,8,2010-09-06,80.86,128.4,1587.9297551323275,99.47,1539.1575349351563,0.06216171727693731
2010-09-01,2010,9,2010-10-06,58.93,94.5,1603.5974885457322,80.86,1587.9297551323275,0.03168760772705825
2010-10-01,2010,10,2010-11-06,57.83,98.14,1697.0430572367284,58.93,1603.5974885457322,0.00986676731937619
2010-11-01,2010,11,2010-12-06,76.87,134.02,1743.4629894627294,57.83,1697.0430572367284,0.05827245886730581
