Ngay,Luong_nghin_tan,Kim_Ngach_trieu_USD
2009-01,151.13,232.0
2009-02,154.4,236.62
2009-03,137.02,199.81
2009-04,123.77,180.16
2009-05,93.09,134.1
2009-06,82.37,121.08
2009-07,53.88,77.01
2009-08,55.31,79.17
2009-09,50.52,73.74
2009-10,55.81,80.58
2009-11,81.03,114.13
2009-12,145.25,202.26
2010-01,145.4,204.35
2010-02,77.39,110.63
2010-03,125.25,171.59
2010-04,125.29,169.15
2010-05,101.24,143.12
2010-06,105.46,152.82
2010-07,99.47,153.1
2010-08,80.86,128.4
2010-09,58.93,94.5
2010-10,57.83,98.14
2010-11,76.87,134.02
2010-12,163.93,291.59
2011-01,215.02,413.12
2011-02,143.91,302.38
2011-03,215.31,487.75
2011-04,128.71,307.66
2011-05,97.93,237.93
2011-06,69.34,162.04
2011-07,58.02,134.8
2011-08,41.56,95.14
2011-09,28.18,63.78
2011-10,32.23,73.39
2011-11,70.6,149.42
2011-12,156.51,325.07
2012-01,117.85,241.13
2012-02,206.23,427.82
2012-03,209.64,440.13
2012-04,168.99,356.38
2012-05,205.36,434.8
2012-06,140.99,304.16
2012-07,116.55,256.27
2012-08,103.26,229.97
2012-09,70.68,159.74
2012-10,102.59,230.12
2012-11,127.52,261.96
2012-12,162.54,330.38
2013-01,223.8,460.22
2013-02,99.75,217.29
2013-03,157.21,350.49
2013-04,109.28,240.12
2013-05,116.24,251.54
2013-06,87.32,184.24
2013-07,89.27,191.21
2013-08,80.96,173.23
2013-09,61.98,132.31
2013-10,60.74,122.42
2013-11,79.16,141.41
2013-12,134.51,253.1
2014-01,140.2,264.21
2014-02,182.81,347.23
2014-03,274.17,559.51
2014-04,207.45,439.27
2014-05,150.25,325.03
2014-06,115.03,252.26
2014-07,127.65,274.49
2014-08,99.81,220.92
2014-09,98.37,216.05
2014-10,95.75,211.62
2014-11,83.8,191.44
2014-12,115.34,254.9
2015-01,146.16,307.4
2015-02,97.38,204.01
2015-03,136.55,276.62
2015-04,106.68,218.67
2015-05,108.34,221.09
2015-06,109.67,221.96
2015-07,111.45,224.89
2015-08,95.02,190.26
2015-09,87.12,167.82
2015-10,88.02,169.16
2015-11,103.07,193.28
2015-12,151.78,276.23
2016-01,176.65,306.15
2016-02,117.7,197.19
2016-03,179.95,303.01
2016-04,187.99,318.36
2016-05,161.01,286.12
2016-06,158.05,291.79
2016-07,139.32,263.51
2016-08,151.58,292.01
2016-09,128.84,255.49
2016-10,117.04,243.73
2016-11,114.58,248.33
2016-12,147.67,328.62
2017-01,184.92,410.46
2017-02,167.88,377.68
2017-03,186.01,420.98
2017-04,143.6,324.9
2017-05,127.69,287.08
2017-06,121.67,275.25
2017-07,104.14,242.71
2017-08,96.13,224.96
2017-09,79.95,186.42
2017-10,79.27,185.11
2017-11,104.73,225.11
2017-12,163.94,326.58
2018-01,216.39,419.7
2018-02,136.48,264.12
2018-03,210.53,405.22
2018-04,163.57,312.15
2018-05,155.33,304.6
2018-06,155.87,296.73
2018-07,134.62,253.13
2018-08,153.1,281.84
2018-09,120.65,212.05
2018-10,138.12,251.16
2018-11,139.31,260.14
2018-12,153.46,275.68
2019-01,183.7,324.25
2019-02,115.12,199.53
2019-03,172.08,298.53
2019-04,143.3,243.38
2019-05,145.19,238.14
2019-06,142.35,238.07
2019-07,140.45,241.02
2019-08,114.17,197.14
2019-09,92.35,168.68
2019-10,87.5,157.57
2019-11,112.9,196.26
2019-12,188.25,327.59
2020-01,145.11,246.56
2020-02,173.79,293.0
2020-03,92.82,164.41
2020-04,165.8,279.84
2020-05,130.29,220.59
2020-06,127.7,217.69
2020-07,120.0,213.0
2020-08,100.0,184.35
2020-09,99.74,188.0
2020-10,91.38,168.73
2020-11,83.73,161.13
2020-12,85.0,170.0
2021-01,160.62,280.58
2021-02,122.84,215.96
2021-03,169.63,312.07
2021-04,132.12,246.39
2021-05,130.29,243.54
2021-06,128.04,248.6
2021-07,122.3,235.06
2021-08,111.7,224.75
2021-09,100.34,210.02
2021-10,91.62,200.51
2021-11,88.55,202.61
2021-12,115.06,270.2
2022-01,152.81,347.29
2022-02,106.45,255.27
2022-03,163.87,380.7
2022-04,133.73,313.66
2022-05,125.64,288.04
2022-06,120.37,276.75
2022-07,105.69,242.15
2022-08,100.4,236.77
2022-09,84.74,206.65
2022-10,74.17,192.27
2022-11,110.36,264.48
2022-12,148.1,332.48
2023-01,114.54,256.09
2023-02,152.45,339.46
2023-03,174.71,406.11
2023-04,146.64,360.57
2023-05,130.29,336.49
2023-06,125.04,338.23
2023-07,97.85,279.22
2023-08,73.62,228.78
2023-09,45.92,154.41
2023-10,39.62,145.0
2023-11,109.48,327.51
2023-12,175.08,510.6
2024-01,194.06,596.79
2024-02,136.53,456.59
2024-03,162.05,579.77
2024-04,135.92,522.74
2024-05,68.23,295.47
2024-06,66.21,302.91
2024-07,68.51,344.35
2024-08,69.43,370.0
2024-09,45.76,256.13
2024-10,39.77,233.44
2024-11,56.27,319.42
2024-12,112.34,612.29
2025-01,124.2,676.36
2025-02,157.63,898.68
2025-03,169.1,990.04
2025-04,156.24,904.4
2025-05,138.53,803.12
2025-06,106.45,616.02
2025-07,91.37,501.95
2025-08,76.4,420.26
2025-09,76.04,435.32
2025-10,62.33,363.06
2025-11,79.04,457.51
