Ngay,available_from,rain_30d,rain_90d,rain_90d_anom,waterbal_90d,tmax_30d,hot_days_30d,oni,oni_chg_3m,enso
2020-01-01,2020-01-01,0.54,203.47999581599998,-28.23213297096794,-142.27162166800002,25.674666666666667,0.0,0.58,0.38999999999999996,1
2020-01-02,2020-01-02,0.54,188.599995816,-43.112132970967934,-157.76106400800003,25.814,0.0,0.58,0.38999999999999996,1
2020-01-03,2020-01-03,0.52,180.95999639599998,-50.752132390967944,-166.69135384800003,25.966666666666665,0.0,0.58,0.38999999999999996,1
2020-01-06,2020-01-06,0.58,176.779996386,-54.93213240096793,-170.17139427800004,26.47666666666667,0.0,0.58,0.38999999999999996,1
2020-01-07,2020-01-07,0.66,175.179996426,-56.53213236096792,-171.68660927800005,26.680666666666664,0.0,0.58,0.38999999999999996,1
2020-01-08,2020-01-08,0.66,174.399996408,-57.31213237896793,-172.21651877600002,26.805999999999997,0.0,0.58,0.38999999999999996,1
2020-01-09,2020-01-09,0.74,173.21999636799998,-58.49213241896794,-173.77612227600002,26.930999999999997,0.0,0.58,0.38999999999999996,1
2020-01-10,2020-01-10,0.62,170.27999636799998,-61.43213241896794,-177.19920229600004,27.055333333333333,0.0,0.58,0.38999999999999996,1
2020-01-13,2020-01-13,0.920000018,165.739996376,-65.97213241096793,-181.91552216800002,27.26966666666667,0.0,0.58,0.38999999999999996,1
2020-01-14,2020-01-14,0.920000018,165.19999636799997,-66.51213241896795,-183.41044301600002,27.298666666666666,0.0,0.58,0.38999999999999996,1
2020-01-15,2020-01-15,0.820000018,164.27999635799998,-67.43213242896795,-185.47554764600002,27.337333333333333,0.0,0.58,0.38999999999999996,1
2020-01-16,2020-01-16,0.820000018,160.259996178,-71.45213260896793,-190.38437832600005,27.403666666666666,0.0,0.58,0.38999999999999996,1
2020-01-17,2020-01-17,0.720000018,158.479996178,-73.23213260896793,-193.064292966,27.429,0.0,0.58,0.38999999999999996,1
2020-01-20,2020-01-20,0.660000018,157.659996168,-74.05213261896793,-195.08897801600003,27.539333333333335,0.0,0.58,0.38999999999999996,1
2020-01-21,2020-01-21,0.660000018,157.63999616799998,-74.07213261896794,-195.499096016,27.596999999999998,0.0,0.58,0.38999999999999996,1
2020-01-22,2020-01-22,0.580000018,157.63999616799998,-74.07213261896794,-195.53671023600003,27.66133333333333,0.0,0.58,0.38999999999999996,1
2020-01-23,2020-01-23,0.580000018,157.319996168,-74.39213261896793,-196.06708567600003,27.75433333333333,0.0,0.58,0.38999999999999996,1
2020-01-24,2020-01-24,0.580000018,155.25999625799997,-76.45213252896795,-198.947447966,27.81833333333333,0.0,0.58,0.38999999999999996,1
2020-01-27,2020-01-27,1.240000038,155.099996278,-76.61213250896793,-198.93574258600003,28.066,0.0,0.58,0.38999999999999996,1
2020-01-28,2020-01-28,1.520000058,138.219996518,-93.49213226896794,-217.25088508600004,28.08133333333333,0.0,0.58,0.38999999999999996,1
2020-01-29,2020-01-29,2.980000118,107.839996778,-123.87213200896792,-249.807033866,28.05366666666667,0.0,0.58,0.38999999999999996,1
2020-01-30,2020-01-30,3.920000146,104.599996946,-127.11213184096792,-253.10881019800001,28.017000000000003,0.0,0.58,0.38999999999999996,1
2020-01-31,2020-01-31,3.880000146,91.239996966,-140.47213182096792,-267.836055798,28.015333333333334,0.0,0.58,0.38999999999999996,1
2020-02-03,2020-02-03,3.880000146,86.459996706,-14.91976777680236,-280.347858778,28.091666666666665,0.0,0.66,0.43000000000000005,1
2020-02-04,2020-02-04,3.880000146,85.099996686,-16.27976779680236,-283.301866818,28.18,0.0,0.66,0.43000000000000005,1
2020-02-05,2020-02-05,3.820000146,84.619996666,-16.759767816802352,-285.501196378,28.179,0.0,0.66,0.43000000000000005,1
2020-02-06,2020-02-06,3.740000146,84.579996666,-16.79976781680236,-287.269642338,28.212666666666667,0.0,0.66,0.43000000000000005,1
2020-02-07,2020-02-07,3.740000146,84.579996666,-16.79976781680236,-289.705827778,28.29733333333333,0.0,0.66,0.43000000000000005,1
2020-02-10,2020-02-10,4.400000128,9.120000206,-92.25976427680236,-371.450936054,28.084999999999997,0.0,0.66,0.43000000000000005,1
2020-02-11,2020-02-11,4.400000128,8.340000206,-93.03976427680236,-373.064902174,28.15333333333333,0.0,0.66,0.43000000000000005,1
2020-02-12,2020-02-12,5.200000128,9.140000206,-92.23976427680236,-373.091874334,28.276,0.0,0.66,0.43000000000000005,1
2020-02-13,2020-02-13,5.340000128,9.280000206,-92.09976427680236,-374.362420274,28.421333333333337,0.0,0.66,0.43000000000000005,1
2020-02-14,2020-02-14,6.500000138,10.360000216,-91.01976426680235,-374.141711044,28.494666666666664,0.0,0.66,0.43000000000000005,1
2020-02-17,2020-02-17,7.540000178,10.620000236,-90.75976424680236,-376.97522472400004,28.701,0.0,0.66,0.43000000000000005,1
