ngay_ky,gio,mat_hang,gia,chenh_lech
2018-08-22,,"DO_0,005S",17730,0
2018-08-22,,"DO_0,05S",17680,0
2018-08-22,,E5_RON92,19610,0
2018-08-22,,KO,16260,0
2018-08-22,,RON95,21370,0
2018-09-06,,"DO_0,005S",18110,380
2018-09-06,,"DO_0,05S",18060,380
2018-09-06,,E5_RON92,19910,300
2018-09-06,,KO,16550,290
2018-09-06,,RON95,21670,300
2018-09-21,,"DO_0,005S",18170,60
2018-09-21,,"DO_0,05S",18120,60
2018-09-21,,E5_RON92,20230,320
2018-09-21,,KO,16680,130
2018-09-21,,RON95,21970,300
2018-10-06,,"DO_0,005S",18660,490
2018-10-06,,"DO_0,05S",18610,490
2018-10-06,,E5_RON92,20900,670
2018-10-06,,KO,17080,400
2018-10-06,,RON95,22540,570
2018-10-22,,"DO_0,005S",18660,0
2018-10-22,,"DO_0,05S",18610,0
2018-10-22,,E5_RON92,20680,-220
2018-10-22,,KO,17080,0
2018-10-22,,RON95,22400,-140
2018-11-06,,"DO_0,005S",18590,-70
2018-11-06,,"DO_0,05S",18540,-70
2018-11-06,,E5_RON92,19600,-1080
2018-11-06,,KO,17080,0
2018-11-06,,RON95,21260,-1140
2018-11-21,,"DO_0,005S",17680,-910
2018-11-21,,"DO_0,05S",17630,-910
2018-11-21,,E5_RON92,18620,-980
2018-11-21,,KO,16240,-840
2018-11-21,,RON95,20170,-1090
2018-12-06,,"DO_0,005S",16300,-1380
2018-12-06,,"DO_0,05S",16250,-1380
2018-12-06,,E5_RON92,17180,-1440
2018-12-06,,KO,15250,-990
2018-12-06,,RON95,18650,-1520
2018-12-21,,"DO_0,005S",16050,-250
2018-12-21,,"DO_0,05S",16000,-250
2018-12-21,,E5_RON92,16780,-400
2018-12-21,,KO,15000,-250
2018-12-21,,RON95,18340,-310
2019-01-01,,"DO_0,005S",14950,-1100
2019-01-01,,"DO_0,05S",14900,-1100
2019-01-01,,E5_RON92,16270,-510
2019-01-01,,KO,14180,-820
2019-01-01,,RON95,17800,-540
2019-01-16,,"DO_0,05S",14900,0
2019-01-16,,E5_RON92,16270,0
2019-01-16,,KO,14180,0
2019-01-16,,RON95,17600,0
2019-01-31,,"DO_0,05S",14900,0
2019-01-31,,E5_RON92,16270,0
2019-01-31,,KO,14180,0
2019-01-31,,RON95,17600,0
2019-02-15,,"DO_0,05S",14900,0
2019-02-15,,E5_RON92,16270,0
2019-02-15,,KO,14180,0
2019-02-15,,RON95,17600,0
2019-03-02,,"DO_0,05S",15860,960
2019-03-02,,E5_RON92,17210,940
2019-03-02,,KO,14880,700
2019-03-02,,RON95,18540,940
2019-03-18,,"DO_0,05S",15860,0
2019-03-18,,E5_RON92,17210,0
2019-03-18,,KO,14880,0
2019-03-18,,RON95,18540,0
2019-04-02,,"DO_0,05S",17080,1220
2019-04-02,,E5_RON92,18580,1370
2019-04-02,,KO,15970,1090
2019-04-02,,RON95,20030,1490
2019-04-17,,"DO_0,05S",17380,300
2019-04-17,,E5_RON92,19700,1120
2019-04-17,,KO,16260,290
2019-04-17,,RON95,21230,1200
2019-05-02,,"DO_0,05S",17690,310
2019-05-02,,E5_RON92,20680,980
2019-05-02,,KO,16620,360
2019-05-02,,RON95,22190,960
2019-05-17,,"DO_0,05S",17610,-80
2019-05-17,,E5_RON92,20480,-200
2019-05-17,,KO,16420,-200
2019-05-17,,RON95,21590,-600
2019-06-01,,"DO_0,05S",17390,-220
2019-06-01,,E5_RON92,20210,-270
2019-06-01,,KO,16220,-200
2019-06-01,,RON95,21210,-380
2019-06-17,,"DO_0,05S",16650,-740
2019-06-17,,E5_RON92,19230,-980
2019-06-17,,KO,15610,-610
2019-06-17,,RON95,20130,-1080
2019-07-02,,"DO_0,05S",16940,290
2019-07-02,,E5_RON92,19650,420
2019-07-02,,KO,15930,320
2019-07-02,,RON95,20510,380
2019-07-17,,"DO_0,05S",16990,50
2019-07-17,,E5_RON92,20270,620
2019-07-17,,KO,15950,20
2019-07-17,,RON95,21230,720
2019-08-01,,"DO_0,05S",17020,30
2019-08-01,,E5_RON92,19900,-370
2019-08-01,,KO,15960,10
2019-08-01,,RON95,20910,-320
2019-08-16,,"DO_0,05S",16500,-520
2019-08-16,,E5_RON92,19350,-550
2019-08-16,,KO,15390,-570
2019-08-16,,RON95,20400,-510
2019-08-31,,"DO_0,05S",16330,-170
2019-08-31,,E5_RON92,19220,-130
2019-08-31,,KO,15320,-70
2019-08-31,,RON95,20230,-170
2019-09-16,,"DO_0,05S",16200,-130
2019-09-16,,E5_RON92,19110,-110
2019-09-16,,KO,15360,40
2019-09-16,,RON95,20140,-90
2019-10-01,,"DO_0,05S",16630,430
2019-10-01,,E5_RON92,19780,670
2019-10-01,,KO,15780,420
2019-10-01,,RON95,21060,920
2019-10-16,,"DO_0,05S",16220,-410
2019-10-16,,E5_RON92,19470,-310
2019-10-16,,KO,15250,-530
2019-10-16,,RON95,20790,-270
2019-10-31,,"DO_0,05S",16050,-170
2019-10-31,,E5_RON92,19250,-220
2019-10-31,,KO,15130,-120
2019-10-31,,RON95,20440,-350
2019-11-15,,"DO_0,05S",15960,-90
2019-11-15,,E5_RON92,19500,250
2019-11-15,,KO,14960,-170
2019-11-15,,RON95,20790,350
2019-11-30,,"DO_0,05S",15980,20
2019-11-30,,E5_RON92,19810,310
2019-11-30,,KO,14960,0
2019-11-30,,RON95,21070,280
2019-12-16,,"DO_0,05S",16060,80
2019-12-16,,E5_RON92,19720,-90
2019-12-16,,KO,15010,50
2019-12-16,,RON95,20880,-190
2019-12-31,,"DO_0,05S",16590,530
2019-12-31,,E5_RON92,19880,160
2019-12-31,,KO,15580,570
2019-12-31,,RON95,20990,110
2020-01-15,,"DO_0,05S",16540,-50
2020-01-15,,E5_RON92,19840,-40
2020-01-15,,KO,15530,-50
2020-01-15,,RON95,20910,-80
2020-01-30,,"DO_0,05S",16130,-410
2020-01-30,,E5_RON92,19260,-580
2020-01-30,,KO,15060,-470
2020-01-30,,RON95,20120,-790
2020-02-14,,"DO_0,05S",15170,-960
2020-02-14,,E5_RON92,18500,-760
2020-02-14,,KO,13950,-1110
2020-02-14,,RON95,19380,-740
2020-02-29,,"DO_0,05S",14780,-390
2020-02-29,,E5_RON92,18340,-160
2020-02-29,,KO,13670,-280
2020-02-29,,RON95,19120,-260
2020-03-15,,"DO_0,05S",13030,-1750
2020-03-15,,E5_RON92,16050,-2290
2020-03-15,,KO,11840,-1830
2020-03-15,,RON95,16810,-2310
2020-03-29,,"DO_0,05S",11250,-1780
2020-03-29,,E5_RON92,11950,-4100
2020-03-29,,KO,9140,-2700
2020-03-29,,RON95,12560,-4250
2020-04-13,,"DO_0,05S",10820,-430
2020-04-13,,E5_RON92,11340,-610
2020-04-13,,KO,8630,-510
2020-04-13,,RON95,11930,-630
2020-04-28,,"DO_0,05S",9940,-880
2020-04-28,,E5_RON92,10940,-400
2020-04-28,,KO,7960,-670
2020-04-28,,RON95,11630,-300
2020-05-13,,"DO_0,05S",9850,-90
2020-05-13,,E5_RON92,11520,580
2020-05-13,,KO,7880,-80
2020-05-13,,RON95,12230,600
2020-05-28,,"DO_0,05S",10740,890
2020-05-28,,E5_RON92,12400,880
2020-05-28,,KO,8750,870
2020-05-28,,RON95,13120,890
2020-06-12,,"DO_0,05S",11510,770
2020-06-12,,E5_RON92,13390,990
2020-06-12,,KO,9610,860
2020-06-12,,RON95,14080,960
2020-06-27,,"DO_0,05S",12110,600
2020-06-27,,E5_RON92,14250,860
2020-06-27,,KO,10030,420
2020-06-27,,RON95,14970,890
2020-07-13,,"DO_0,05S",12110,0
2020-07-13,,E5_RON92,14250,0
2020-07-13,,KO,10030,0
2020-07-13,,RON95,14970,0
2020-07-28,,"DO_0,05S",12390,280
2020-07-28,,E5_RON92,14400,150
2020-07-28,,KO,10270,240
2020-07-28,,RON95,14970,0
2020-08-12,,"DO_0,05S",12200,-190
2020-08-12,,E5_RON92,14400,0
