date,Brent,DO_0001S,DO_005S,E5_RON92,FO_30S,FO_35S,FO_380,FO_other,RON92,RON95,RON95_IV,WTI,dau_hoa
2017-01-04,197.0,,13750.0,17320.0,11520.0,11120.0,11020.0,,17590.0,18290.0,18440.0,215.0,12250.0
2017-01-05,197.0,,13750.0,17320.0,11520.0,11120.0,11020.0,,17590.0,18290.0,18440.0,215.0,12250.0
2017-01-06,197.0,,13750.0,17320.0,11520.0,11120.0,11020.0,,17590.0,18290.0,18440.0,215.0,12250.0
2017-01-07,197.0,,13750.0,17320.0,11520.0,11120.0,11020.0,,17590.0,18290.0,18440.0,215.0,12250.0
2017-01-08,197.0,,13750.0,17320.0,11520.0,11120.0,11020.0,,17590.0,18290.0,18440.0,215.0,12250.0
2017-01-09,197.0,,13750.0,17320.0,11520.0,11120.0,11020.0,,17590.0,18290.0,18440.0,215.0,12250.0
2017-01-10,197.0,,13750.0,17320.0,11520.0,11120.0,11020.0,,17590.0,18290.0,18440.0,215.0,12250.0
2017-01-11,197.0,,13750.0,17320.0,11520.0,11120.0,11020.0,,17590.0,18290.0,18440.0,215.0,12250.0
2017-01-12,197.0,,13750.0,17320.0,11520.0,11120.0,11020.0,,17590.0,18290.0,18440.0,215.0,12250.0
2017-01-13,197.0,,13750.0,17320.0,11520.0,11120.0,11020.0,,17590.0,18290.0,18440.0,215.0,12250.0
2017-01-14,197.0,,13750.0,17320.0,11520.0,11120.0,11020.0,,17590.0,18290.0,18440.0,215.0,12250.0
2017-01-15,197.0,,13750.0,17320.0,11520.0,11120.0,11020.0,,17590.0,18290.0,18440.0,215.0,12250.0
2017-01-16,197.0,,13750.0,17320.0,11520.0,11120.0,11020.0,,17590.0,18290.0,18440.0,215.0,12250.0
2017-01-17,197.0,,13750.0,17320.0,11520.0,11120.0,11020.0,,17590.0,18290.0,18440.0,215.0,12250.0
2017-01-18,197.0,,13750.0,17320.0,11520.0,11120.0,11020.0,,17590.0,18290.0,18440.0,215.0,12250.0
2017-01-19,197.0,,14040.0,17320.0,12020.0,11620.0,11520.0,,17590.0,18290.0,18440.0,215.0,12600.0
2017-01-20,197.0,,14040.0,17320.0,12020.0,11620.0,11520.0,,17590.0,18290.0,18440.0,215.0,12600.0
2017-01-21,197.0,,14040.0,17320.0,12020.0,11620.0,11520.0,,17590.0,18290.0,18440.0,215.0,12600.0
2017-01-22,197.0,,14040.0,17320.0,12020.0,11620.0,11520.0,,17590.0,18290.0,18440.0,215.0,12600.0
2017-01-23,197.0,,14040.0,17320.0,12020.0,11620.0,11520.0,,17590.0,18290.0,18440.0,215.0,12600.0
2017-01-24,197.0,,14040.0,17320.0,12020.0,11620.0,11520.0,,17590.0,18290.0,18440.0,215.0,12600.0
2017-01-25,197.0,,14040.0,17320.0,12020.0,11620.0,11520.0,,17590.0,18290.0,18440.0,215.0,12600.0
2017-01-26,197.0,,14040.0,17320.0,12020.0,11620.0,11520.0,,17590.0,18290.0,18440.0,215.0,12600.0
2017-01-27,197.0,,14040.0,17320.0,12020.0,11620.0,11520.0,,17590.0,18290.0,18440.0,215.0,12600.0
2017-01-28,197.0,,14040.0,17320.0,12020.0,11620.0,11520.0,,17590.0,18290.0,18440.0,215.0,12600.0
2017-01-29,197.0,,14040.0,17320.0,12020.0,11620.0,11520.0,,17590.0,18290.0,18440.0,215.0,12600.0
2017-01-30,197.0,,14040.0,17320.0,12020.0,11620.0,11520.0,,17590.0,18290.0,18440.0,215.0,12600.0
2017-01-31,197.0,,14040.0,17320.0,12020.0,11620.0,11520.0,,17590.0,18290.0,18440.0,215.0,12600.0
2017-02-01,197.0,,14040.0,17320.0,12020.0,11620.0,11520.0,,17590.0,18290.0,18440.0,215.0,12600.0
2017-02-02,197.0,,14040.0,17320.0,12020.0,11620.0,11520.0,,17590.0,18290.0,18440.0,215.0,12600.0
2017-02-03,197.0,,14020.0,17320.0,11600.0,11200.0,11100.0,,17590.0,18290.0,18440.0,215.0,12520.0
2017-02-04,197.0,,14020.0,17320.0,11600.0,11200.0,11100.0,,17590.0,18290.0,18440.0,215.0,12520.0
2017-02-05,197.0,,14020.0,17320.0,11600.0,11200.0,11100.0,,17590.0,18290.0,18440.0,215.0,12520.0
2017-02-06,197.0,,14020.0,17320.0,11600.0,11200.0,11100.0,,17590.0,18290.0,18440.0,215.0,12520.0
2017-02-07,197.0,,14020.0,17320.0,11600.0,11200.0,11100.0,,17590.0,18290.0,18440.0,215.0,12520.0
2017-02-08,197.0,,14020.0,17320.0,11600.0,11200.0,11100.0,,17590.0,18290.0,18440.0,215.0,12520.0
2017-02-09,197.0,,14020.0,17320.0,11600.0,11200.0,11100.0,,17590.0,18290.0,18440.0,215.0,12520.0
2017-02-10,197.0,,14020.0,17320.0,11600.0,11200.0,11100.0,,17590.0,18290.0,18440.0,215.0,12520.0
2017-02-11,197.0,,14020.0,17320.0,11600.0,11200.0,11100.0,,17590.0,18290.0,18440.0,215.0,12520.0
2017-02-12,197.0,,14020.0,17320.0,11600.0,11200.0,11100.0,,17590.0,18290.0,18440.0,215.0,12520.0
2017-02-13,197.0,,14020.0,17320.0,11600.0,11200.0,11100.0,,17590.0,18290.0,18440.0,215.0,12520.0
2017-02-14,197.0,,14020.0,17320.0,11600.0,11200.0,11100.0,,17590.0,18290.0,18440.0,215.0,12520.0
2017-02-15,197.0,,14020.0,17320.0,11600.0,11200.0,11100.0,,17590.0,18290.0,18440.0,215.0,12520.0
2017-02-16,197.0,,14020.0,17320.0,11600.0,11200.0,11100.0,,17590.0,18290.0,18440.0,215.0,12520.0
2017-02-17,197.0,,14020.0,17320.0,11600.0,11200.0,11100.0,,17590.0,18290.0,18440.0,215.0,12520.0
2017-02-18,197.0,,14300.0,17810.0,11720.0,11320.0,11220.0,,18090.0,18790.0,18940.0,215.0,12750.0
2017-02-19,197.0,,14300.0,17810.0,11720.0,11320.0,11220.0,,18090.0,18790.0,18940.0,215.0,12750.0
