ngay_ky,mat_hang,don_vi,vung1,vung2
2017-01-04,Brent,$97.97,197,205
2017-01-04,Dầu hỏa,Đồng/lít,12250,12490
2017-01-04,"Mazút No2B (3,0S)",Đồng/kg,11520,11750
2017-01-04,"Mazút No2B (3,5S)",Đồng/kg,11120,11120
2017-01-04,Mazút No3 (380),Đồng/kg,11020,11240
2017-01-04,WTI,$95.91,215,229
2017-01-04,Xăng RON 92-II,Đồng/lít,17590,17940
2017-01-04,"Xăng RON 95-II,III",Đồng/lít,18290,18650
2017-01-04,Xăng RON 95-IV,Đồng/lít,18440,18800
2017-01-04,Xăng sinh học E5 RON 92-II,Đồng/lít,17320,17660
2017-01-04,"Điêzen 0,05S (DO 0.005S)",Đồng/lít,13750,14020
2017-01-19,Dầu hỏa,Đồng/lít,12600,12850
2017-01-19,"Mazút No2B (3,0S)",Đồng/kg,12020,12260
2017-01-19,"Mazút No2B (3,5S)",Đồng/kg,11620,11620
2017-01-19,Mazút No3 (380),Đồng/kg,11520,11750
2017-01-19,Xăng RON 92-II,Đồng/lít,17590,17940
2017-01-19,"Xăng RON 95-II,III",Đồng/lít,18290,18650
2017-01-19,Xăng RON 95-IV,Đồng/lít,18440,18800
2017-01-19,Xăng sinh học E5 RON 92-II,Đồng/lít,17320,17660
2017-01-19,"Điêzen 0,05S (DO 0.005S)",Đồng/lít,14040,14320
2017-02-03,Brent,$97.97,197,205
2017-02-03,Dầu hỏa,Đồng/lít,12520,12770
2017-02-03,"Mazút No2B (3,0S)",Đồng/kg,11600,11830
2017-02-03,"Mazút No2B (3,5S)",Đồng/kg,11200,11200
2017-02-03,Mazút No3 (380),Đồng/kg,11100,11320
2017-02-03,WTI,$95.91,215,229
2017-02-03,Xăng RON 92-II,Đồng/lít,17590,17940
2017-02-03,"Xăng RON 95-II,III",Đồng/lít,18290,18650
2017-02-03,Xăng RON 95-IV,Đồng/lít,18440,18800
2017-02-03,Xăng sinh học E5 RON 92-II,Đồng/lít,17320,17660
2017-02-03,"Điêzen 0,05S (DO 0.005S)",Đồng/lít,14020,14300
2017-02-18,Dầu hỏa,Đồng/lít,12750,13000
2017-02-18,"Mazút No2B (3,0S)",Đồng/kg,11720,11950
2017-02-18,"Mazút No2B (3,5S)",Đồng/kg,11320,11320
2017-02-18,Mazút No3 (380),Đồng/kg,11220,11440
2017-02-18,Xăng RON 92-II,Đồng/lít,18090,18450
2017-02-18,"Xăng RON 95-II,III",Đồng/lít,18790,19160
2017-02-18,Xăng RON 95-IV,Đồng/lít,18940,19310
2017-02-18,Xăng sinh học E5 RON 92-II,Đồng/lít,17810,18160
2017-02-18,"Điêzen 0,05S (DO 0.005S)",Đồng/lít,14300,14580
2017-03-06,Brent,$97.97,197,205
2017-03-06,Dầu hỏa,Đồng/lít,12830,13080
2017-03-06,"Mazút No2B (3,0S)",Đồng/kg,11770,12000
2017-03-06,"Mazút No2B (3,5S)",Đồng/kg,11370,11370
2017-03-06,Mazút No3 (380),Đồng/kg,11270,11490
2017-03-06,WTI,$95.91,215,229
2017-03-06,Xăng RON 92-II,Đồng/lít,18020,18380
