"Date","Price","Open","High","Low","Vol.","Change %"
"06/02/2026","3,470.00","3,446.00","3,473.00","3,439.00","","4.68%"
"06/01/2026","3,315.00","3,347.00","3,385.00","3,307.00","7.93K","-0.96%"
"05/29/2026","3,347.00","3,411.00","3,427.00","3,336.00","6.88K","-1.99%"
"05/28/2026","3,415.00","3,333.00","3,430.00","3,333.00","7.21K","2.28%"
"05/27/2026","3,339.00","3,367.00","3,404.00","3,328.00","5.34K","-1.13%"
"05/26/2026","3,377.00","3,305.00","3,385.00","3,300.00","7.25K","-2.29%"
"05/22/2026","3,456.00","3,398.00","3,481.00","3,396.00","9.84K","1.68%"
"05/21/2026","3,399.00","3,315.00","3,410.00","3,302.00","7.41K","2.13%"
"05/20/2026","3,328.00","3,345.00","3,347.00","3,268.00","12.67K","-0.51%"
"05/19/2026","3,345.00","3,327.00","3,356.00","3,291.00","8.12K","1.18%"
"05/18/2026","3,306.00","3,374.00","3,379.00","3,295.00","10.36K","-1.75%"
"05/15/2026","3,365.00","3,483.00","3,491.00","3,356.00","11.67K","-3.50%"
"05/14/2026","3,487.00","3,546.00","3,566.00","3,476.00","8.51K","-2.05%"
"05/13/2026","3,560.00","3,487.00","3,599.00","3,482.00","12.48K","2.24%"
"05/12/2026","3,482.00","3,494.00","3,515.00","3,463.00","7.47K","-0.63%"
"05/11/2026","3,504.00","3,418.00","3,528.00","3,402.00","11.69K","2.64%"
"05/08/2026","3,414.00","3,386.00","3,472.00","3,378.00","9.94K","-0.52%"
"05/07/2026","3,432.00","3,397.00","3,452.00","3,355.00","10.68K","0.56%"
"05/06/2026","3,413.00","3,389.00","3,443.00","3,371.00","7.65K","1.04%"
"05/05/2026","3,378.00","3,363.00","3,438.00","3,355.00","9.71K","0.42%"
"05/01/2026","3,364.00","3,378.00","3,406.00","3,327.00","6.26K","0.09%"
"04/30/2026","3,361.00","3,448.00","3,465.00","3,345.00","8.08K","-2.35%"
"04/29/2026","3,442.00","3,497.00","3,515.00","3,422.00","6.19K","-1.12%"
"04/28/2026","3,481.00","3,428.00","3,512.00","3,428.00","6.63K","1.55%"
"04/27/2026","3,428.00","3,447.00","3,491.00","3,410.00","7.53K","-1.58%"
"04/24/2026","3,483.00","3,501.00","3,574.00","3,470.00","13.36K","-0.68%"
"04/23/2026","3,507.00","3,396.00","3,513.00","3,394.00","13.49K","3.03%"
"04/22/2026","3,404.00","3,363.00","3,487.00","3,363.00","15.09K","1.95%"
"04/21/2026","3,339.00","3,367.00","3,374.00","3,314.00","8.10K","-1.10%"
"04/20/2026","3,376.00","3,258.00","3,390.00","3,250.00","13.43K","3.46%"
"04/17/2026","3,263.00","3,326.00","3,338.00","3,250.00","9.20K","-2.51%"
"04/16/2026","3,347.00","3,385.00","3,399.00","3,324.00","9.46K","-1.38%"
"04/15/2026","3,394.00","3,335.00","3,405.00","3,335.00","12.73K","1.28%"
"04/14/2026","3,351.00","3,244.00","3,363.00","3,236.00","15.44K","2.98%"
"04/13/2026","3,254.00","3,225.00","3,262.00","3,210.00","10.10K","0.46%"
"04/10/2026","3,239.00","3,235.00","3,243.00","3,173.00","11.09K","0.00%"
"04/09/2026","3,239.00","3,250.00","3,266.00","3,203.00","11.23K","-0.52%"
"04/08/2026","3,256.00","3,213.00","3,275.00","3,176.00","14.59K","0.77%"
"04/07/2026","3,231.00","3,350.00","3,356.00","3,211.00","16.04K","-3.44%"
"04/02/2026","3,346.00","3,438.00","3,442.00","3,335.00","13.08K","-2.39%"
"04/01/2026","3,428.00","3,410.00","3,441.00","3,373.00","9.98K","0.68%"
"03/31/2026","3,405.00","3,357.00","3,412.00","3,356.00","10.01K","1.70%"
"03/30/2026","3,348.00","3,510.00","3,513.00","3,338.00","11.67K","-4.78%"
"03/27/2026","3,516.00","3,522.00","3,560.00","3,505.00","7.28K","-0.17%"
"03/26/2026","3,522.00","3,546.00","3,588.00","3,510.00","6.47K","-2.95%"
"03/25/2026","3,629.00","3,661.00","3,672.00","3,611.00","7.34K","-0.90%"
"03/24/2026","3,662.00","3,641.00","3,704.00","3,612.00","11.41K","0.69%"
"03/23/2026","3,637.00","3,649.00","3,679.00","3,587.00","9.94K","-0.74%"
"03/20/2026","3,664.00","3,679.00","3,706.00","3,615.00","12.68K","-0.14%"
"03/19/2026","3,669.00","3,587.00","3,673.00","3,573.00","12.16K","2.51%"
"03/18/2026","3,579.00","3,522.00","3,599.00","3,495.00","8.74K","1.47%"
"03/17/2026","3,527.00","3,482.00","3,550.00","3,459.00","9.56K","1.50%"
"03/16/2026","3,475.00","3,473.00","3,503.00","3,415.00","10.42K","0.58%"
"03/13/2026","3,455.00","3,626.00","3,626.00","3,432.00","12.33K","-4.69%"
"03/12/2026","3,625.00","3,575.00","3,650.00","3,553.00","8.98K","2.03%"
"03/11/2026","3,553.00","3,692.00","3,696.00","3,543.00","11.61K","-3.76%"
"03/10/2026","3,692.00","3,760.00","3,767.00","3,671.00","7.57K","-2.09%"
"03/09/2026","3,771.00","3,769.00","3,838.00","3,720.00","10.58K","-0.03%"
"03/06/2026","3,772.00","3,789.00","3,822.00","3,736.00","9.66K","0.56%"
"03/05/2026","3,751.00","3,754.00","3,766.00","3,709.00","6.73K","0.46%"
"03/04/2026","3,734.00","3,717.00","3,757.00","3,673.00","7.38K","0.78%"
"03/03/2026","3,705.00","3,762.00","3,799.00","3,678.00","9.32K","-1.78%"
"03/02/2026","3,772.00","3,580.00","3,787.00","3,580.00","15.99K","4.08%"
"02/27/2026","3,624.00","3,650.00","3,650.00","3,590.00","7.46K","-0.41%"
"02/26/2026","3,639.00","3,693.00","3,698.00","3,625.00","6.72K","-1.73%"
"02/25/2026","3,703.00","3,644.00","3,719.00","3,598.00","7.82K","1.73%"
"02/24/2026","3,640.00","3,550.00","3,654.00","3,534.00","8.21K","2.25%"
"02/23/2026","3,560.00","3,604.00","3,606.00","3,517.00","13.10K","-0.86%"
"02/20/2026","3,591.00","3,630.00","3,684.00","3,550.00","10.70K","-0.80%"
"02/19/2026","3,620.00","3,706.00","3,728.00","3,544.00","11.20K","-1.71%"
"02/18/2026","3,683.00","3,623.00","3,703.00","3,623.00","11.04K","1.77%"
"02/17/2026","3,619.00","3,784.00","3,785.00","3,578.00","15.10K","-4.64%"
"02/16/2026","3,795.00","3,790.00","3,841.00","3,762.00","5.09K","-0.13%"
"02/13/2026","3,800.00","3,765.00","3,894.00","3,765.00","8.33K","0.93%"
"02/12/2026","3,765.00","3,726.00","3,801.00","3,717.00","9.26K","1.98%"
"02/11/2026","3,692.00","3,700.00","3,719.00","3,638.00","11.09K","0.24%"
"02/10/2026","3,683.00","3,800.00","3,802.00","3,668.00","11.59K","-2.31%"
"02/09/2026","3,770.00","3,672.00","3,808.00","3,665.00","13.43K","2.78%"
"02/06/2026","3,668.00","3,759.00","3,813.00","3,626.00","15.47K","-2.16%"
"02/05/2026","3,749.00","3,701.00","3,765.00","3,662.00","13.33K","1.63%"
"02/04/2026","3,689.00","3,744.00","3,784.00","3,672.00","14.09K","-0.81%"
"02/03/2026","3,719.00","3,972.00","3,983.00","3,712.00","19.98K","-5.90%"
"02/02/2026","3,952.00","4,019.00","4,033.00","3,932.00","11.04K","0.38%"
"01/30/2026","3,937.00","3,978.00","4,007.00","3,904.00","4.78K","-1.48%"
"01/29/2026","3,996.00","4,015.00","4,045.00","3,976.00","4.85K","0.30%"
"01/28/2026","3,984.00","4,120.00","4,156.00","3,944.00","4.99K","-2.83%"
"01/27/2026","4,100.00","4,022.00","4,127.00","3,993.00","4.87K","-0.32%"
"01/26/2026","4,113.00","4,039.00","4,145.00","4,026.00","9.36K","1.53%"
"01/23/2026","4,051.00","3,947.00","4,114.00","3,939.00","13.26K","2.74%"
"01/22/2026","3,943.00","3,960.00","3,974.00","3,921.00","9.38K","-1.03%"
"01/21/2026","3,984.00","3,880.00","3,995.00","3,845.00","7.47K","3.11%"
"01/20/2026","3,864.00","3,925.00","3,944.00","3,848.00","8.37K","-1.80%"
"01/19/2026","3,935.00","3,930.00","3,953.00","3,889.00","3.24K","0.25%"
"01/16/2026","3,925.00","3,902.00","3,964.00","3,885.00","6.77K","0.05%"
"01/15/2026","3,923.00","3,864.00","3,953.00","3,803.00","5.25K","1.13%"
"01/14/2026","3,879.00","3,889.00","3,919.00","3,838.00","3.36K","-0.08%"
"01/13/2026","3,882.00","3,861.00","3,891.00","3,846.00","2.89K","0.96%"
"01/12/2026","3,845.00","3,800.00","3,862.00","3,797.00","2.95K","0.21%"
"01/09/2026","3,837.00","3,840.00","3,919.00","3,797.00","4.30K","-0.75%"
"01/08/2026","3,866.00","3,886.00","3,934.00","3,836.00","2.72K","-0.26%"
"01/07/2026","3,876.00","3,905.00","3,987.00","3,840.00","5.48K","-1.37%"
"01/06/2026","3,930.00","3,844.00","3,940.00","3,792.00","3.54K","2.24%"
"01/05/2026","3,844.00","3,878.00","3,880.00","3,748.00","3.42K","-0.88%"
"01/02/2026","3,878.00","3,874.00","3,886.00","3,799.00","2.12K","0.15%"
