Model,MAE,RMSE,sMAPE(%),MASE,DA(%)
XGBoost,1689.9673958950357,3770.8209082872936,1.5858557553426336,5.63702612765177,53.278688524590166
Naive,1567.343442622951,3811.21932815406,1.459466053823041,5.228003781925034,9.836065573770492
SVR,1568.8544011391111,3813.4448539729215,1.4590626243646163,5.23304370911776,46.72131147540984
ElasticNet,1624.211571308635,3855.517855483906,1.514399033648379,5.417692132132576,45.08196721311475
Ridge,1626.5585663828651,3855.6733306214974,1.5165316271050624,5.425520728463511,45.90163934426229
Lasso,1617.275605117115,3861.631305948923,1.5083411323386522,5.394556642810664,47.540983606557376
"ARIMAX(1,1,1)",1604.8225448669286,3886.8865214998505,1.4964765391462729,5.353018429606057,46.72131147540984
RandomForest,1725.4707785746411,3908.495613440354,1.6060497520026036,5.755450599195472,50.81967213114754
LightGBM,1876.9034837046872,3912.907174526211,1.7634785210455368,6.260566921245554,50.0
kNN,1744.2494262295083,3969.6064231256596,1.629022912880603,5.81808833275742,44.26229508196721
