Model,MAE,RMSE,sMAPE(%),MASE,DA(%)
Naive,3511.438016528926,5288.655674754758,3.3548928541407292,11.71269214594521,0.8264462809917356
"ARIMAX(1,1,1)",3564.758217336039,5606.189215392505,3.3956827216882077,11.890546089051698,44.62809917355372
Lasso,4192.333599496014,6246.409943461791,3.960137562074123,13.983875720676467,52.892561983471076
ElasticNet,4191.283231017223,6346.834900401362,3.9570654974829713,13.980372129676434,50.413223140495866
XGBoost,4494.102117768594,6367.925915263148,4.337986148979186,14.990449590762507,46.28099173553719
Ridge,4203.853927580334,6395.408074666775,3.9682511197952,14.022302728539561,51.2396694214876
LightGBM,4892.498294561572,6738.85578674253,4.737140800678281,16.319333013717063,46.28099173553719
RandomForest,4840.552052264211,6819.046120632109,4.702910452704753,16.14606202294243,47.93388429752066
kNN,6199.742727272727,8466.448279383367,6.053608533869076,20.679755019679707,46.28099173553719
SVR,59640.56074288473,64151.28122920958,79.08827963173883,198.93602680860528,46.28099173553719
