Nam,Tinh,DienTich_nghinHa
1995,Bà Rịa - Vũng Tàu,5.0
1996,Bà Rịa - Vũng Tàu,8.4
1997,Bà Rịa - Vũng Tàu,10.9
1998,Bà Rịa - Vũng Tàu,12.1
1999,Bà Rịa - Vũng Tàu,13.7
2000,Bà Rịa - Vũng Tàu,13.7
2001,Bà Rịa - Vũng Tàu,9.3
2002,Bà Rịa - Vũng Tàu,9.1
2003,Bà Rịa - Vũng Tàu,9.1
2004,Bà Rịa - Vũng Tàu,8.0
2005,Bà Rịa - Vũng Tàu,7.8
2006,Bà Rịa - Vũng Tàu,7.2
2007,Bà Rịa - Vũng Tàu,7.2
2008,Bà Rịa - Vũng Tàu,7.1
2009,Bà Rịa - Vũng Tàu,7.2
2010,Bà Rịa - Vũng Tàu,7.2
2011,Bà Rịa - Vũng Tàu,7.6
2012,Bà Rịa - Vũng Tàu,7.3
2013,Bà Rịa - Vũng Tàu,7.1
2014,Bà Rịa - Vũng Tàu,7.1
2015,Bà Rịa - Vũng Tàu,6.5
2016,Bà Rịa - Vũng Tàu,5.3
2017,Bà Rịa - Vũng Tàu,5.1
2022,Bà Rịa - Vũng Tàu,3.1
2023,Bà Rịa - Vũng Tàu,2.9
1995,Bình Dương,0.1
1996,Bình Dương,0.5
1997,Bình Dương,0.5
1998,Bình Dương,0.5
1999,Bình Dương,0.6
2000,Bình Dương,0.6
2001,Bình Dương,0.6
2002,Bình Dương,0.5
2003,Bình Dương,0.5
2004,Bình Dương,0.4
2005,Bình Dương,0.4
2006,Bình Dương,0.4
2007,Bình Dương,0.3
1995,Bình Phước,7.1
1996,Bình Phước,14.4
1997,Bình Phước,15.8
1998,Bình Phước,17.8
1999,Bình Phước,20.1
2000,Bình Phước,18.8
2001,Bình Phước,16.6
2002,Bình Phước,15.7
2003,Bình Phước,13.6
2004,Bình Phước,10.4
2005,Bình Phước,10.4
2006,Bình Phước,10.3
2007,Bình Phước,10.3
2008,Bình Phước,11.1
2009,Bình Phước,11.5
2010,Bình Phước,12.5
2011,Bình Phước,12.5
2012,Bình Phước,15.0
2013,Bình Phước,15.6
2014,Bình Phước,15.8
2015,Bình Phước,16.0
2016,Bình Phước,16.0
2017,Bình Phước,16.0
2018,Bình Phước,15.5
2019,Bình Phước,15.0
2020,Bình Phước,14.6
2021,Bình Phước,14.6
2022,Bình Phước,14.0
2023,Bình Phước,14.0
2024,Bình Phước,14.2
1998,Bình Thuận,1.6
1999,Bình Thuận,1.6
2000,Bình Thuận,1.8
2001,Bình Thuận,2.2
2002,Bình Thuận,1.9
2003,Bình Thuận,1.7
2004,Bình Thuận,1.1
2005,Bình Thuận,1.1
2006,Bình Thuận,1.4
2007,Bình Thuận,1.4
2008,Bình Thuận,1.4
2009,Bình Thuận,1.6
2010,Bình Thuận,1.8
2011,Bình Thuận,1.8
2012,Bình Thuận,1.8
2013,Bình Thuận,1.9
2014,Bình Thuận,2.1
2015,Bình Thuận,1.9
2016,Bình Thuận,2.1
2017,Bình Thuận,2.2
2018,Bình Thuận,2.2
2019,Bình Thuận,2.4
2020,Bình Thuận,2.3
2021,Bình Thuận,2.3
2022,Bình Thuận,2.3
2023,Bình Thuận,1.9
1998,Bình Định,0.6
1999,Bình Định,0.6
2000,Bình Định,0.6
2001,Bình Định,0.5
2002,Bình Định,0.5
2003,Bình Định,0.5
2004,Bình Định,0.5
2005,Bình Định,0.3
2006,Bình Định,0.3
2007,Bình Định,0.3
2008,Bình Định,0.3
2009,Bình Định,0.3
2010,Bình Định,0.3
2011,Bình Định,0.2
2012,Bình Định,0.1
2013,Bình Định,0.1
2014,Bình Định,0.1
2015,Bình Định,0.1
2016,Bình Định,0.1
2017,Bình Định,0.1
1995,Gia Lai,22.8
1996,Gia Lai,30.6
1997,Gia Lai,38.5
1998,Gia Lai,44.9
1999,Gia Lai,81.0
2000,Gia Lai,81.0
2001,Gia Lai,79.2
2002,Gia Lai,77.5
2003,Gia Lai,76.1
2004,Gia Lai,75.9
2005,Gia Lai,75.9
2006,Gia Lai,75.9
2007,Gia Lai,76.1
2008,Gia Lai,76.4
2009,Gia Lai,76.6
2010,Gia Lai,77.2
2011,Gia Lai,77.6
2012,Gia Lai,77.7
2013,Gia Lai,78.0
2014,Gia Lai,79.1
2015,Gia Lai,79.7
2016,Gia Lai,82.5
2017,Gia Lai,86.2
2018,Gia Lai,89.3
2019,Gia Lai,96.3
2020,Gia Lai,98.5
2021,Gia Lai,98.4
2022,Gia Lai,100.1
2023,Gia Lai,105.8
