Nam,Đắk Lắk,Lâm Đồng,Gia Lai,Đắk Nông,Kon Tum,TN5,Total,TN_share
1995,126.9,126.9,22.8,,5.0,281.6,322.4,87.34491315136478
1996,165.0,,30.6,,5.5,201.1,256.2,78.49336455893832
1997,169.6,,38.5,,7.0,215.1,282.4,76.1685552407932
1998,182.3,,44.9,,9.6,236.8,322.30000000000007,73.47192057089667
1999,259.0,,81.0,,14.4,354.4,445.6,79.53321364452422
2000,258.5,,81.0,,14.2,353.7,440.1000000000001,80.36809815950919
2001,237.3,,79.2,,13.0,329.5,403.2,81.72123015873017
2002,232.3,,77.5,,12.4,322.2,391.59999999999997,82.27783452502554
2003,166.4,,76.1,66.5,11.5,320.5,386.1,83.00958300958301
2004,167.0,,75.9,67.1,10.6,320.6,374.5,85.60747663551402
2005,170.4,,75.9,71.4,10.6,328.30000000000007,380.3,86.32658427557193
2006,174.7,,75.9,70.2,9.8,330.6,378.70000000000005,87.29865328756271
2007,178.9,,76.1,71.9,9.9,336.79999999999995,388.0,86.8041237113402
2008,182.4,,76.4,75.5,10.4,344.7,395.29999999999995,87.1995952441184
2009,182.0,,76.6,74.8,11.1,344.50000000000006,397.70000000000005,86.62308272567262
2010,190.8,143.3,77.2,86.5,11.5,509.3,566.5,89.90291262135922
2011,200.2,,77.6,90.2,11.9,379.8999999999999,439.5,86.43913538111488
2012,202.0,,77.7,115.3,12.8,407.8,471.5,86.4899257688229
2013,203.6,,78.0,117.4,13.4,412.4,481.79999999999995,85.59568285595684
2014,204.4,,79.1,118.5,14.1,416.1,484.69999999999993,85.84691561790801
2015,203.4,166.2,79.7,119.5,15.3,584.0999999999999,658.5,88.7015945330296
2016,203.7,172.4,82.5,123.6,16.6,598.8000000000001,672.5,89.04089219330857
2017,203.8,173.9,86.2,127.5,18.0,609.4000000000001,683.3000000000001,89.18483828479438
2018,203.1,175.6,89.3,129.5,20.5,618.0,675.3,91.51488227454465
2019,208.1,175.2,96.3,129.2,21.6,630.4,684.5,92.09642074506938
2020,210.0,176.1,98.5,130.5,25.3,640.4,691.9000000000001,92.55672785084548
2021,213.3,175.9,98.4,135.6,29.0,652.2,701.3,92.99871666904322
2022,212.9,175.9,100.1,139.9,29.1,657.9,708.8000000000001,92.818848758465
2023,212.1,176.8,105.8,142.1,29.8,666.5999999999999,718.4000000000001,92.78953229398661
2025,212.5,176.8,106.4,143.0,31.5,670.2,670.2,100.0
2024,212.5,176.8,106.4,143.0,31.5,670.2,711.4,94.20860275513073
